Date,Close,declining,advancing,dec_vol,adv_vol
2016-07-15,2152.3,1388.0,1649.0,1552049588.0,1463905569.0
2016-07-18,2159.7,1117.0,1947.0,868664351.0,2034208189.0
2016-07-19,2158.5,1750.0,1283.0,1773538421.0,1073126400.0
2016-07-20,2167.5,1011.0,2037.0,1130619625.0,1979966489.0
2016-07-21,2157.8,1748.0,1287.0,1935919476.0,1405741487.0
2016-07-22,2167.5,1017.0,2003.0,1008268761.0,1952503920.0
2016-07-25,2162.0,1903.0,1131.0,1904063594.0,1048817397.0
2016-07-26,2163.0,1184.0,1851.0,1095060484.0,2283755205.0
2016-07-27,2160.5,1630.0,1412.0,2419523166.0,1477016632.0
2016-07-28,2164.3,1445.0,1570.0,1808090618.0,1756457927.0
2016-07-29,2171.0,1141.0,1915.0,1525618436.0,2396371586.0
2016-08-01,2165.0,1796.0,1242.0,2327635408.0,1060823410.0
2016-08-02,2152.5,2354.0,713.0,2793791708.0,1005637034.0
2016-08-03,2156.8,993.0,2054.0,967391504.0,2685451967.0
2016-08-04,2159.2,1302.0,1715.0,1539533906.0,1860268850.0
2016-08-05,2177.3,851.0,2174.0,1035736761.0,2518934099.0
2016-08-08,2175.7,1297.0,1691.0,1186742143.0,1996837016.0
2016-08-09,2177.5,1396.0,1620.0,1525245010.0,1720784695.0
2016-08-10,2172.5,1674.0,1348.0,1956300030.0,1240073644.0
2016-08-11,2181.5,1140.0,1908.0,880115554.0,2448984674.0
2016-08-12,2180.5,1560.0,1448.0,1563493125.0,1372183573.0
2016-08-15,2186.0,1079.0,1970.0,732802929.0,2281771522.0
2016-08-16,2177.0,2078.0,935.0,1989912777.0,1111406478.0
2016-08-17,2179.5,1439.0,1590.0,1776809964.0,1544516044.0
2016-08-18,2183.5,891.0,2136.0,1045545326.0,2160550900.0
2016-08-19,2181.5,1792.0,1216.0,1729266202.0,1266507737.0
2016-08-22,2181.3,1488.0,1521.0,1725583546.0,963790750.0
2016-08-23,2185.3,992.0,2046.0,947477733.0,2037721691.0
2016-08-24,2175.0,2122.0,922.0,2424192538.0,655845033.0
2016-08-25,2173.5,1341.0,1682.0,1232927644.0,1668554354.0
2016-08-26,2168.5,1820.0,1206.0,2017620097.0,1243966193.0
2016-08-29,2179.0,830.0,2201.0,456361191.0,2113108309.0
2016-08-30,2175.5,1551.0,1453.0,1551063431.0,1372030979.0
2016-08-31,2169.5,1867.0,1152.0,2274197806.0,1268746804.0
2016-09-01,2167.5,1575.0,1425.0,1828901195.0,1494487332.0
2016-09-02,2178.0,601.0,2434.0,487689773.0,2517088686.0
2016-09-06,2184.0,1246.0,1794.0,1156864129.0,2180877516.0
