Date,S&P PUT-CALL RATIO,S&P PUT VOLUME,S&P CALL VOLUME,PREV. DAY OPEN INTEREST
2016-08-12,1.38,581738.0,420507.0,1002245.0
2016-08-15,1.34,589156.0,440703.0,1029859.0
2016-08-16,1.56,644833.0,413138.0,1057971.0
2016-08-17,1.57,712116.0,454815.0,1166931.0
2016-08-18,1.5,565163.0,376927.0,942090.0
2016-08-19,1.83,711116.0,388457.0,1099573.0
2016-08-22,1.51,508590.0,335949.0,844539.0
2016-08-23,1.45,597497.0,411191.0,1008688.0
2016-08-24,1.53,744318.0,487994.0,1232312.0
2016-08-25,1.88,646075.0,344321.0,990396.0
2016-08-26,1.53,865412.0,565116.0,1430528.0
2016-08-29,1.45,592849.0,407752.0,1000601.0
2016-08-30,1.63,619229.0,379478.0,998707.0
2016-08-31,2.21,745257.0,337666.0,1082923.0
2016-09-01,2.08,689843.0,331340.0,1021183.0
2016-09-02,2.16,843061.0,390174.0,1233235.0
2016-09-06,1.45,700638.0,484858.0,1185496.0
2016-09-07,2.07,724475.0,350128.0,1074603.0
2016-09-08,1.88,682940.0,364143.0,1047083.0
2016-09-09,2.04,1436824.0,705554.0,2142378.0
2016-09-12,1.44,1191102.0,827291.0,2018393.0
2016-09-13,1.65,831481.0,505205.0,1336686.0
2016-09-14,1.51,840196.0,555329.0,1395525.0
2016-09-15,1.56,771292.0,494751.0,1266043.0
2016-09-16,1.63,901128.0,552775.0,1453903.0
2016-09-19,1.65,604994.0,365907.0,970901.0
2016-09-20,1.53,518987.0,340174.0,859161.0
2016-09-21,1.94,1026175.0,529095.0,1555270.0
2016-09-22,1.73,1041212.0,601856.0,1643068.0
2016-09-23,2.11,879662.0,416607.0,1296269.0
2016-09-26,1.78,712461.0,400177.0,1112638.0
2016-09-27,1.66,601373.0,361246.0,962619.0
2016-09-28,1.45,619819.0,426629.0,1046448.0
2016-09-29,1.8,881446.0,489364.0,1370810.0
2016-09-30,1.69,776345.0,458399.0,1234744.0
2016-10-03,1.97,606728.0,308035.0,914763.0
2016-10-04,1.62,641198.0,397002.0,1038200.0
2016-10-05,1.74,467048.0,267993.0,735041.0
2016-10-06,1.9,515209.0,271754.0,786963.0
2016-10-07,1.85,778738.0,421600.0,1200338.0
2016-10-10,1.67,609545.0,365785.0,975330.0
2016-10-11,1.64,887503.0,539881.0,1427384.0
2016-10-12,1.95,731054.0,375314.0,1106368.0
2016-10-13,1.55,765153.0,494623.0,1259776.0
2016-10-14,1.69,757288.0,447734.0,1205022.0
2016-10-17,1.65,567441.0,344373.0,911814.0
2016-10-18,1.48,684639.0,463394.0,1148033.0
2016-10-19,1.57,740025.0,470432.0,1210457.0
2016-10-20,1.46,661046.0,452834.0,1113880.0
2016-10-21,1.96,873516.0,445291.0,1318807.0
2016-10-24,2.22,586137.0,263491.0,849628.0
2016-10-25,2.03,528680.0,260628.0,789308.0
2016-10-26,1.43,561572.0,391786.0,953358.0
2016-10-27,1.48,626043.0,423775.0,1049818.0
2016-10-28,1.83,887234.0,484537.0,1371771.0
2016-10-31,1.81,613390.0,338203.0,951593.0
2016-11-01,1.95,902846.0,462656.0,1365502.0
2016-11-02,1.63,855849.0,524366.0,1380215.0
2016-11-03,1.87,992063.0,529812.0,1521875.0
2016-11-04,1.99,1205847.0,605009.0,1810856.0
2016-11-07,1.78,1022098.0,573939.0,1596037.0
2016-11-08,2.14,1097807.0,513038.0,1610845.0
2016-11-09,1.55,1416756.0,916089.0,2332845.0
2016-11-10,1.33,1070805.0,807937.0,1878742.0
2016-11-11,1.86,941099.0,505643.0,1446742.0
2016-11-14,1.24,832827.0,674252.0,1507079.0
2016-11-15,1.35,712244.0,528787.0,1241031.0
2016-11-16,1.18,813866.0,687627.0,1501493.0
2016-11-17,1.14,722037.0,634440.0,1356477.0
2016-11-18,1.43,778315.0,544344.0,1322659.0
2016-11-21,1.26,701045.0,556439.0,1257484.0
2016-11-22,1.49,759805.0,508661.0,1268466.0
2016-11-23,1.42,624906.0,440059.0,1064965.0
2016-11-25,1.1,564992.0,512045.0,1077037.0
2016-11-28,1.63,568415.0,348872.0,917287.0
2016-11-29,1.66,544942.0,328761.0,873703.0
2016-11-30,1.26,706061.0,558685.0,1264746.0
2016-12-01,1.46,560148.0,384851.0,944999.0
2016-12-02,1.26,615379.0,487803.0,1103182.0
2016-12-05,1.21,544941.0,450221.0,995162.0
2016-12-06,1.16,522861.0,451240.0,974101.0
2016-12-07,0.91,828439.0,906404.0,1734843.0
2016-12-08,0.89,872282.0,985257.0,1857539.0
2016-12-09,1.08,837914.0,772896.0,1610810.0
2016-12-12,1.22,691943.0,568428.0,1260371.0
2016-12-13,0.81,712087.0,876054.0,1588141.0
2016-12-14,1.29,824075.0,637351.0,1461426.0
2016-12-15,1.17,706439.0,605088.0,1311527.0
2016-12-16,1.4,837288.0,596013.0,1433301.0
2016-12-19,1.47,521521.0,355558.0,877079.0
2016-12-20,1.29,496777.0,384664.0,881441.0
2016-12-21,1.76,596307.0,338630.0,934937.0
2016-12-22,1.29,583304.0,452770.0,1036074.0
2016-12-23,1.54,343899.0,223107.0,567006.0
2016-12-27,1.23,315426.0,255860.0,571286.0
2016-12-28,1.49,545804.0,365477.0,911281.0
2016-12-29,1.62,485024.0,298819.0,783843.0
2016-12-30,1.34,668273.0,498199.0,1166472.0
2017-01-03,1.58,790217.0,499819.0,1290036.0
2017-01-04,1.18,571185.0,483221.0,1054406.0
2017-01-05,1.66,561945.0,338802.0,900747.0
2017-01-06,1.52,769739.0,506356.0,1276095.0
2017-01-09,1.84,557314.0,303553.0,860867.0
2017-01-10,1.8,544988.0,303557.0,848545.0
2017-01-11,1.59,641771.0,403926.0,1045697.0
